"Texte_Descriptif";"APE_Propose";"APE_DV2";"APE_DV3";"Selection";"Nature_Activites";"CodeRetour_DV2"
"accompagnement administratif et digital pour les particuliers et les entreprises";;"8210Y";"8210Y";;"Vente à distance";"SUCCES_ECHO"
"ACCOMPAGNEMENT SCOLAIRE A DOMICILE (ENSEIGNANT INDEPENDANT)";;"8559H";"8559H";;;"SUCCES_ECHO"
"ACCOMPAGNEMENT SCOLAIRE A DOMICILE (ENSEIGNANT INDEPENDANT)";"8559H";"8559H";"8559H";1;;"SUCCES_ECHO"
"Accompagnement scolaire dans le cadre de l'éducation populaire pour les enfants/adolescents en situation précaire ou délicate.";"8899G";"8569Y";"8559H";;;"SUCCES_ECHO"
"Accompagnement scolaire dans le cadre de l'éducation populaire pour les enfants/adolescents en situation précaire ou délicate.";"8899G";"8559H";"8559H";;"Vente à distance";"SUCCES_ECHO"
"ACCOMPAGNER, DEVELOPPER ET VALORISER LA CREATION ARTISTIQUE (MULTI TECHNIQUES AUTOUR DES ARTS VISUELS) PAR LA MISE EN PLACE D’ATELIERS";"8552Y";"9039G";"8552Y";1;;"SUCCES_ECHO"
"achat et revente en ligne";"4712H";"4791Y";"4712H";;;"SUCCES_ECHO"
"Achat et vente d'objets d'arts horlogerie et de métaux précieux.";"4778H";"4778H";"4777Y";;;"SUCCES_ECHO"
"Achat et vente de cafetières sur internet.";"4754Y";"4791Y";"5630Y";;;"SUCCES_ECHO"
"Achat et vente de saucissons, ainsi que tous produits alimentaires et non alimentaires non règlementés sur foires, brocantes, marchés et sur";"4722Y";"4727H";"4639Y";;;"SUCCES_ECHO"
"Achat et vente en gros et au détail du miel et de produits dérivés de l'apiculture (en ligne, à des épiceries, dans des expositions ventes, etc)";"4638Y";;;;;"ERREUR_HTTP_200"
"Achat Revente d'accessoires et de vêtements sur plate-forme de revente";;"4791Y";"4642Y";;;"SUCCES_ECHO"
"ACHAT REVENTE D'ARTICLES CADEAU SUR LES MARCHES";"4712H";"4712H";"4712H";;;"SUCCES_ECHO"
"ACHAT REVENTE D'ARTICLES CADEAU SUR LES MARCHES";"4778H";"4712H";"4712H";;;"SUCCES_ECHO"
"ACHAT REVENTE D'ARTICLES DE BAZAR SUR LES MARCHES";"4712H";"4712H";"4712H";;;"SUCCES_ECHO"
"ACHAT REVENTE D'ARTICLES DE BAZAR SUR LES MARCHES";"4712H";"4712H";"4712H";;;"SUCCES_ECHO"
